time,vid,cluster_head,distance_to_ch
29,9,9,0.0
30,0,14,148.8451964290417
30,1,NONE,403.0476649231453
30,10,10,0.0
30,11,NONE,287.89193041834295
30,12,NONE,336.57055961566215
30,13,NONE,426.22166545120626
30,14,14,0.0
30,15,15,0.0
30,2,NONE,284.4313324864193
30,3,NONE,404.77188748726115
30,4,14,205.56999999999994
30,5,5,0.0
30,6,5,198.31699120347707
30,7,14,20.037175449648558
30,8,5,39.79
30,9,9,0.0
31,0,14,163.286574157216
31,1,NONE,404.24391473465624
31,10,10,0.0
31,11,NONE,270.75775815292906
31,12,NONE,348.3043360338771
31,13,NONE,425.0823540209591
31,14,14,0.0
31,15,15,0.0
31,2,NONE,297.823471371885
31,3,NONE,406.0753629561882
31,4,14,207.72000000000003
31,5,5,0.0
31,6,5,194.15646190637074
31,7,14,3.701297069947244
31,8,5,28.964614618530657
31,9,9,0.0
32,0,14,178.07368278327937
32,1,16,217.76331095939923
32,10,9,20.680000000000007
32,11,16,79.04479995546825
32,12,NONE,361.4902557469565
32,13,NONE,397.02975719711486
32,14,14,0.0
32,15,15,0.0
32,16,16,0.0
32,2,16,238.2527615789584
32,3,NONE,366.40843344551996
32,4,14,209.01
32,5,5,0.0
32,6,5,188.8182949292785
32,7,14,17.97709932108075
32,8,5,17.94360610356792
32,9,9,0.0
33,0,7,188.6060224383092
33,1,16,222.38669587005427
33,10,15,103.21999999999997
33,11,16,62.80157959796874
33,12,NONE,375.95306861362366
33,13,NONE,384.72925038265555
33,14,7,35.145981278092094
33,15,15,0.0
33,16,16,0.0
33,2,16,246.88838044752123
33,3,NONE,355.70243533043174
33,4,7,245.9308197440898
33,5,5,0.0
33,6,8,177.90510391779097
33,7,7,0.0
33,8,8,0.0
33,9,15,123.75
34,0,7,192.98099595556036
34,1,16,226.1886108980733
34,10,15,105.12
34,11,16,45.382958255274616
34,12,NONE,392.57596831696156
34,13,NONE,370.0097950054836
34,14,7,50.34383080378374
34,15,15,0.0
34,16,16,0.0
34,17,NONE,259.7903156393632
34,2,NONE,257.35375361552434
34,3,NONE,346.8408235776175
34,4,NONE,263.86263850723543
34,5,5,0.0
34,6,8,166.943285279762
34,7,7,0.0
34,8,8,0.0
34,9,15,126.57999999999998
35,0,7,195.37773977605536
35,1,16,229.1554173481395
35,10,15,105.84999999999997
35,11,16,25.21388704662571
35,12,NONE,410.65372468784454
35,13,NONE,352.9673810708293
35,14,7,64.26213893110008
35,15,15,0.0
35,16,16,0.0
35,17,NONE,254.95765942603092
35,2,NONE,269.65611897377744
35,3,NONE,339.77801930083706
35,4,NONE,277.6913079302268
35,5,5,0.0
35,6,8,154.83574038315572
35,7,7,0.0
35,8,8,0.0
35,9,15,127.21999999999997
36,0,NONE,581.7112424562551
36,1,16,231.2576478735352
36,10,9,19.620000000000005
36,11,16,4.676334034262316
36,12,NONE,429.3686155274975
36,13,NONE,334.0262745653402
36,14,NONE,523.6153856601236
36,15,15,0.0
36,16,16,0.0
36,17,9,199.86561885426917
36,18,15,69.41379978073516
36,2,NONE,284.1773055681963
36,3,NONE,334.47309024793014
36,4,NONE,309.34273241826776
36,5,5,0.0
36,6,8,142.70788345427871
36,7,NONE,600.1299860030325
36,8,8,0.0
36,9,9,0.0
37,0,NONE,602.5566610701436
37,1,NONE,397.06289489198053
37,10,10,0.0
37,11,9,205.2378193706024
37,12,NONE,447.8004656094051
37,13,NONE,374.0080679611069
37,14,NONE,509.39275858614246
37,15,15,0.0
37,16,9,205.94123457918766
37,17,9,183.09796530819233
37,18,15,82.94175305598502
37,2,NONE,384.41089175516345
37,3,NONE,410.2584172201711
37,4,NONE,294.71391144633805
37,5,5,0.0
37,6,8,129.15234570072664
37,7,NONE,600.1301942078902
37,8,8,0.0
37,9,9,0.0
38,0,19,196.1388602495691
38,1,NONE,374.3636767903638
38,10,10,0.0
38,11,10,205.27878507045003
38,12,NONE,420.49217638381805
38,13,NONE,360.63244571169685
38,14,19,104.07588385404182
38,15,15,0.0
38,16,10,212.06522605085445
38,17,10,184.6777260527105
38,18,15,99.65139236357916
38,19,19,0.0
38,2,NONE,399.96375135754494
38,3,NONE,411.11726015821813
38,4,NONE,281.80393059714413
38,5,5,0.0
38,6,8,116.34981220440365
38,7,19,23.49
38,8,8,0.0
38,9,10,20.639999999999986
39,0,19,197.60131705026666
39,1,NONE,272.3564071212572
39,10,10,0.0
39,11,11,0.0
39,12,3,190.9369636817345
39,13,NONE,315.0449117189484
39,14,19,116.7198068024447
39,15,10,96.07
39,16,11,56.99989561393947
39,17,10,168.59037220434627
39,18,10,214.2039037926246
39,19,19,0.0
39,2,3,10.990454949636984
39,3,3,0.0
39,4,NONE,268.04152066424336
39,5,8,34.26
39,6,8,104.19340670119198
39,7,19,33.62
39,8,8,0.0
39,9,10,25.350000000000023
40,0,19,197.86795824488613
40,1,NONE,283.1327605558919
40,10,10,0.0
40,11,11,0.0
40,12,NONE,394.5029785692372
40,13,NONE,306.18909712790236
40,14,19,129.9128511733924
40,15,10,87.49452668595906
40,16,11,71.2489270094645
40,17,9,120.43252094015136
40,18,10,224.971859795842
40,19,19,0.0
40,2,NONE,297.77356766509683
40,3,NONE,286.08656329859326
