time,vid,speed,degree,avg_neighbor_dist,rel_speed_avg,keep_ratio,stable_label
31.0,11,13.92,1,133.84396661784945,1.4499999999999993,0.0,0
31.0,14,5.83,1,3.701297069947244,6.25,1.0,1
31.0,15,2.06,2,100.60499999999996,9.09,1.0,1
31.0,5,2.19,1,28.964614618530657,10.51,1.0,1
31.0,7,12.08,1,3.701297069947244,6.25,1.0,1
31.0,8,12.7,1,28.964614618530657,10.51,1.0,1
31.0,9,11.08,2,66.23999999999998,4.58,1.0,1
32.0,10,11.85,2,59.360000000000014,4.3149999999999995,1.0,1
32.0,11,13.25,1,79.04479995546825,13.25,1.0,1
32.0,14,8.21,1,17.97709932108075,3.129999999999999,1.0,1
32.0,15,3.79,2,108.38000000000002,7.774999999999999,1.0,1
32.0,16,0.0,1,79.04479995546825,13.25,1.0,1
32.0,2,13.67,1,130.9866577174943,1.1099999999999994,1.0,1
32.0,3,14.78,1,130.9866577174943,1.1099999999999994,1.0,1
32.0,5,1.81,1,17.94360610356792,9.18,1.0,1
32.0,7,11.34,1,17.97709932108075,3.129999999999999,1.0,1
32.0,8,10.99,1,17.94360610356792,9.18,1.0,1
32.0,9,11.28,2,69.70000000000002,4.029999999999999,1.0,1
33.0,10,11.5,2,61.875,2.665,1.0,1
33.0,11,14.16,1,62.80157959796874,12.06,1.0,1
33.0,14,9.65,1,35.145981278092094,1.9900000000000002,1.0,1
33.0,15,6.32,2,113.48499999999999,5.1049999999999995,1.0,1
33.0,16,2.1,1,62.80157959796874,12.06,1.0,1
33.0,2,13.96,1,110.52535862868757,1.0,1.0,1
33.0,3,14.96,1,110.52535862868757,1.0,1.0,1
33.0,5,1.76,1,8.653415510652424,6.42,1.0,1
33.0,7,7.66,1,35.145981278092094,1.9900000000000002,1.0,1
33.0,8,8.18,1,8.653415510652424,6.42,1.0,1
33.0,9,11.35,2,72.14000000000001,2.59,1.0,1
34.0,1,12.21,1,144.3624483721442,1.549999999999999,1.0,1
34.0,10,10.81,2,63.28999999999999,1.415,1.0,1
34.0,11,13.74,1,45.382958255274616,10.030000000000001,1.0,1
34.0,13,13.76,1,144.3624483721442,1.549999999999999,1.0,1
34.0,14,11.06,1,50.34383080378374,6.050000000000001,1.0,1
34.0,15,8.91,2,115.85,2.365,1.0,1
34.0,16,3.71,1,45.382958255274616,10.030000000000001,1.0,1
34.0,2,13.95,1,90.42474218929243,0.5400000000000009,1.0,1
34.0,3,14.49,1,90.42474218929243,0.5400000000000009,1.0,1
34.0,5,4.15,1,3.4968700290402457,1.1499999999999995,1.0,1
34.0,7,5.01,1,50.34383080378374,6.050000000000001,1.0,1
34.0,8,5.3,1,3.4968700290402457,1.1499999999999995,1.0,1
34.0,9,11.74,2,74.01999999999998,1.88,1.0,1
35.0,1,12.76,1,125.48268725206678,1.790000000000001,1.0,1
35.0,10,11.95,2,63.609999999999985,0.41499999999999915,1.0,1
35.0,11,14.19,1,25.21388704662571,8.129999999999999,1.0,1
35.0,13,14.55,1,125.48268725206678,1.790000000000001,1.0,1
35.0,14,13.12,1,64.26213893110008,8.36,1.0,1
35.0,15,11.21,2,116.53499999999997,0.6949999999999985,1.0,1
35.0,16,6.06,1,25.21388704662571,8.129999999999999,1.0,1
35.0,2,13.11,1,70.68571072005997,1.6400000000000006,1.0,1
35.0,3,14.75,1,70.68571072005997,1.6400000000000006,1.0,1
35.0,5,5.49,1,10.672375555610845,2.1700000000000004,1.0,1
35.0,7,4.76,1,64.26213893110008,8.36,1.0,1
35.0,8,3.32,1,10.672375555610845,2.1700000000000004,1.0,1
35.0,9,11.86,2,74.29499999999999,0.3699999999999992,1.0,1
36.0,1,12.72,1,106.21963848554562,2.459999999999999,1.0,1
36.0,10,12.37,2,62.70000000000002,0.9100000000000001,1.0,1
36.0,11,13.28,1,4.676334034262316,4.959999999999999,1.0,1
36.0,13,15.18,1,106.21963848554562,2.459999999999999,1.0,1
36.0,14,12.72,1,77.60497535596541,5.660000000000001,0.0,0
36.0,15,12.44,3,100.19793326024508,4.776666666666666,0.6666666666666666,1
36.0,16,8.32,1,4.676334034262316,4.959999999999999,1.0,1
36.0,18,0.0,1,69.41379978073516,12.44,0.0,0
36.0,2,13.44,1,50.62004444881496,1.4700000000000006,1.0,1
36.0,3,14.91,1,50.62004444881496,1.4700000000000006,1.0,1
36.0,5,7.28,2,82.06048298858991,5.625,1.0,1
36.0,6,14.5,2,144.15722616541177,9.235,1.0,1
36.0,7,7.06,1,77.60497535596541,5.660000000000001,0.0,0
36.0,8,3.25,2,80.61114027745684,7.640000000000001,1.0,1
